ID,Section,Question,Option 1,Option 2,Option 3,Option 4,Ans(1-4),Translation,Explanation,Interval,Ease,Next_Review
27,11,I was ( ) go out when my boss came in.,thinking of,about to,aimed to,free of,2,上司が入ってきたとき、私はまさに出かけるところだった。,「(ちょうど)･･･するところである」。未来を表す be about to do。be (just) about to do は「(まさに)･･･しようとしている/(ちょうど)･･･するところである」という意味。注 was about to go out 「まさに出かけるところだった」は、「私はまだ中にいた」という状況を表していることに注意。,0,2.5,
28,12,It ( ) ten years since the two companies merged.,has been,is passed,has passed,passed,1,その2社が合併してから10年が経った。,時間の経過の表現一It is [has been]+時間+ since SV。▶It と since を使った時間の経過の表現 (It has been +時間+ since SV.)となる。① has been が正解。▶本問は Ten years have passed since the two companies merged. と書きかえられる。,0,2.5,
29,12,Ten years ( ) since I left my home to work in this city.,had passed,have passed,passed,is passed,2,私がこの都市で働くために家を出てから、10年が過ぎた。,主語(Ten years)に注目。時間の経過の表現一時間+ have passed since SV.。▶主語が Ten years と時間を表す語句になっていることと sinceに注目。時間の経過を表す表現(時間+have passed since SV.) となる。② have passed が正解。,0,2.5,
30,12,Our grandfather has been ( ) for almost ten years.,dead,died,dying,death,1,私たちの祖父が亡くなってからほぼ10年になる。,人が主語であることに注目。時間の経過の表現 S have been dead for A.。▶「私たちの祖父が亡くなってからほぼ10年になる」の内容を、英語特有の発想で「10年間死んでいる状態が続いている」という現在までの状態の継続を表す現在完了の表現にする。S is dead. 「Sは死んでいる」 (deadは形容詞) → S have been dead for A. 「Sが死んでからA(期間)になる」,0,2.5,
31,13,The tallest building in my town ( ) 50 years ago.,has built,has been built,built,was built,4,私の町で一番高い建物は50年前に建てられた。,主語 building と他動詞 build の関係に注目。▶英文の主語 building 「建物」と、選択肢の他動詞 build 「･･･を建設する」の関係は、「建物が建設される」という受動の関係になるので、受動態の④ was built が正解。▶「だれによって建設されたか」は不明なので、動作主を表す by Aは省略されている。has been built は現在完了の受動態であるが、明らかに過去のことを表す表現50 years ago があるので、現在完了は使えない。,0,2.5,
32,13,He ( ) captain of the team by the boys.,has chosen,was chosen,chose,chooses,2,彼は少年たちによってチームのキャプテンに選ばれた。,動詞のあとの語句の働きに注目。SVOCの受動態一(be動詞+過去分詞+補語)。▶主語 heと他動詞 choose 「･･･を選ぶ」の関係を考える。受動態の② was chosen を入れると、「彼はキャプテンに選ばれた」となり文意が通る。このとき名詞 captain は補語になっている。本問は The boys chose him captain of the team の受動態。,0,2.5,
33,13,How often are the flowers ( ) during the summer?,water,watered,been watered,watering,2,その花は夏の間どれくらいの頻度で水をあげればいいですか。,疑問詞のあとの語順に注意。疑問詞を使う疑問文の受動態。▶waterは「･･･に水をかける[やる]」という他動詞。the flowers と他動詞 water の関係は「花が水をかけられる」という受動の関係になるので、受動態で表す必要がある。▶文頭に疑問詞 How often があるから、そのあとの語順に注意する。The flowers are watered ... という平叙文の語順から考えればよい。,0,2.5,
34,14,"Fortunately, the hospital's new air-conditioning system ( ) when the first heat wave of the summer arrived.",had already been installed,had already been installing,had already installed,already installed,1,その夏初めての猛暑が襲ったとき、幸運にもその病院の新しい空調システムはすでに設置されていた。,have been done の語順。完了形の受動態。完了形は have [has/had]の後ろに過去分詞を用いるので、完了形の受動態は〈have [has/had] been done〉の語順になる。▶英文の主語 the hospital's new air-conditioning system 「その病院の新しい空調システム」と、選択肢の他動詞 install 「･･･を設置する」の関係は、「空調システムが設置される」という受動の関係になるので、受動態の①が正解。▶「その夏初めての猛暑が襲った」ときよりも前に空調システムはすでに設置されていたので、過去のある時点までの動作の完了を表す過去完了の had already been installed となっている。,0,2.5,
35,14,It has been hard to concentrate on my studies lately because a road ( ) in front of my house.,builds,has built,is being built,is building,3,自宅の前で道路が造られているので、このところずっと勉強に集中しにくい。,be動詞+ being done の語順。進行形の受動態。進行形はbe動詞の後ろにing形(現在分詞)を用いるので、進行形の受動態は〈be動詞+ being done〉の語順になる。▶英文の主語 a road 「道路」と、選択肢の他動詞 build 「･･･を建設する」の関係は、「道路が建設される」という受動の関係になるので、受動態の③が正解。,0,2.5,
36,15,"On her way home from school, the little girl was ( ) a stranger.",spoken to by,spoken to,spoke,spoken by to,1,学校からの帰宅途中、その幼い少女は見知らぬ人に話しかけられた。,群動詞 speak toを1つの動詞と考える。群動詞の受動態。▶「少女は見知らぬ人に話しかけられた」という英文を作る。群動詞 speak to...「･･･に話しかける」を1つの動詞と考えれば、A speak to B 「AがBに話しかける」の受動態は B is spoken to by Aとなる。よって①が正解。前置詞toとbyが連続することに注意。,0,2.5,
37,15,Nobody likes to be ( ) in public.,made fun of,making fun of,make fun of,make fun,1,だれも人前で笑いものにされるのは好まない。,群動詞 make fun of を1つの動詞と考える。群動詞の受動態。▶「だれも〜ない」は主語を nobody で始めて表す。make fun of... 「･･･を笑いものにする」、like to do 「〜することを好む」、in public 「人前で」のフレーズを作る。本問ではlikes のあとに to be made fun of と受動態の不定詞を続けることに注意。▶群動詞 make fun of... を1つの動詞と考えると、A make fun of B「AがBをからかう」の受動態は、B is made fun of by Aとなる。,0,2.5,
38,16,"If you are interested ( ) this, please let me know.",in,for,at,on,1,もしあなたがこれに興味があるなら、私に知らせてください。,by 以外の前置詞を用いる受動態。be interested in A 「Aに興味がある」。▶interest は「(人)に興味を持たせる」という意味の他動詞。その受動態で「興味がある」を表す。,0,2.5,
39,16,We ( ) the service at the restaurant.,satisfied,were satisfied with,satisfied ourselves,satisfied with,2,われわれはそのレストランのサービスに満足した。,by 以外の前置詞を用いる受動態。be satisfied with A 「Aに満足している」。▶satisfy は「(人)を満足させる」という意味の他動詞。その受動態 be satisfied「(人)が満足させられる」→「(人)が満足している」ならば文意が合う。①は文意が成立しないので不可。,0,2.5,
40,16,This sensor is known ( ) everybody as a means of obtaining information.,to,for,at,with,1,このセンサーは情報を得る手段としてみんなに知られている。,by 以外の前置詞を用いる受動態。be known to A (as B) 「Aに(Bとして)知られている」。この表現を用いる。,0,2.5,
41,17,( ) you all be happy and well.,Fortunately,If only,May,Suppose,3,皆様のご多幸とご健康をお祈りします。,原形 beに注目。祈願を表す may。May S do! で「Sが･･･します [であります] ように」という祈願を表す。本問のように「！」(感嘆符)はつかない場合もある。▶you all be happyの動詞の原形beに注目する。動詞の原形が後ろに来るのは助動詞の Mayだけ。,0,2.5,
42,18,He ( ) be Mary's boyfriend.,mustn't,can't,won't,may not,2,彼はメアリーのボーイフレンドのはずがない。,「はずがない」の意味の助動詞は？ cannot [can't] 「･･･のはずがない」。▶日本語の意味になるのは② can't 「〜のはずがない」だけ。mustn't は「〜してはならない」という禁止の意味。,0,2.5,
43,18,( ) it be true that he bought a sports car?,Can,Had,Has,Did,1,彼がスポーツカーを買ったというのは本当だろうか。,原形 beに注目。Can...? 「(いったい)･･･だろうか」。▶ it be true の原形beに注目する。原形beが後ろに来るのは助動詞の Can だけ。空所のあとの it は形式主語で、that以下が真主語になっている。,0,2.5,
44,19,Excuse me for rushing off. I ( ) get back to the office.,would need,must,may,need,2,急いで飛び出してしまってすみません。職場に戻らないといけないのです。,"謝罪の理由を述べている。must「〜しなければならない」。▶急いで飛び出してしまったことに関する謝罪のあとに理由を述べていると考えれば、文意が成立するのは「･･･しなければならない」という意味を表す②mustだけ。選択肢④の助動詞 need は否定文,疑問文で使うので不可。",0,2.5,
45,19,I promised I would be on time. I ( ) be late.,need not,must not,might not,don't have to,2,時間通りに行くと約束しました。遅れてはならない。,文意を成立させる約束を守るためには？ must not 「･･･してはならない」。▶文章が成立するのは「･･･してはならない」という意味を表す② must not だけ。,0,2.5,
46,19,He ( ) be in because I can hear his radio.,shall,must,have,has,2,彼のラジオの音が聞こえるので、彼は中にいるにちがいない。,理由を述べて判断している。must 「･･･にちがいない」。▶because 以下の理由をもとに話し手が判断していると考える。文意が成立するのは「･･･にちがいない」という意味を表す② must だけ。,0,2.5,
47,20,My brother was in an accident a few days ago and I ( ) him to the hospital then.,should take,can take,had to take,had better take,3,私の弟が数日前に事故にあい、そのとき私は彼を病院へ連れて行かなければならなかった。,過去形 was に注目：過去の出来事。had to do 「〜しなければならなかった」。▶take him to the hospital 「彼を病院に連れて行く」のは過去の出来事であるから、文意が成立するのは過去の義務を表す③ had to take だけ。正解以外はすべて現在の事柄を表し、過去の事柄には使えない。,0,2.5,
48,20,"Oh, it's already eleven o'clock? I ( ) go home now.",ve gotten,ve got to,d had to,m having to,2,おっと、もう11時？もう家に帰らなきゃ。,「･･･しなければならない」の文意を作る。have got to do ･･･しなければならない」。have to do の代わりに、have ['ve] got to do を使うことがある。よって②が正解。,0,2.5,
49,20,"Do you have to attend the meeting this afternoon? ""( ), but I'd like to know more about the new committee, so I will.""",I think so,I'm not,I don't have to,I hope so,3,「今日の午後、あなたはその会議に出席しなければいけないのですか」「その必要はないのですが、新しい委員会についてもっと知りたいので、出席します」,反対の内容を表す but に注目。don't have to do「･･･する必要はない」。▶but は逆接を表すので、前文の内容はbut以下の「知りたいので出席する」という内容と反対の内容になるはず。「･･･する必要はない(不必要)」を表す③ I don't have to ならば文意が成立する。I don't have to の toは代不定詞で、toの後ろの表現が省略されている。省略を補えばI don't have to attend the meeting this afternoon となる。,0,2.5,
50,21,This cake ( ) be divided into six parts.,may,had,should,can,3,このケーキは6つに分けられるべきです。,命令文に近いニュアンス。should 「･･･すべきである／･･･した方がよい」。▶(a) Divide this cake into six parts. の命令文に最も近いニュアンスを持つ、義務を表す③ should が正解。,0,2.5,
51,21,He ( ) to look after his children better.,must,should,better,ought,4,彼はもっとちゃんと自分の子どもたちの面倒を見るべきだ。,空所のあとの to に注目。ought to do 「･･･すべきである／･･･した方がよい」。▶空所のあとの to に注目して④ought を選ぶ。hasなら空所に入る。,0,2.5,
52,21,I ( ) not to tell my father the true state of his health.,must,should,better,ought,4,私は父に、彼の本当の健康状態を告げるべきではない。,空所のあとの not to に注目。ought not to do 「･･･すべきでない」。▶空所のあとの not to に注目して④oughtを選ぶ。not の位置に注意。,0,2.5,
53,22,Dan ( ) argue with his wife about the matter.,dared not,not dare,did not dare to,dares not,1,ダンには、その件について妻とあえて口論する気はなかった。,助動詞 dare の過去形 dared に注意。dare not do「･･･する勇気がない」。▶助動詞dareには過去形dared があることに注意。「あえて･･･する気はなかった」を dared not do でまとめる。,0,2.5,
54,22,How ( ) you speak to me like that!,might,do,dare,may,3,よくも私にあんな口がきけるね！,"非難の内容を読み取る。How dare S do...? 「よくも･･･できるね」。▶ How dare S do...? の形でよく出題される。「･･･するとはずうずうしいにもほどがある／･･･するのは厚かましすぎる」という非難を表す。本問のように""?""(疑問符)の代わりに""!""(感嘆符)を用いる場合もある。",0,2.5,
55,23,"We all tried to push the truck, but it ( ) move. Finally, we called the car service center.",will,would,won't,wouldn't,4,私たちみんなでそのトラックを押そうとしたが、どうしても動かなかった。結局私たちは自動車サービスセンターに電話をかけた。,主語 it = the truck の強い意志。would not do 「どうしても･･･しなかった」。will / would が「主語の強い意志」を表す場合があり、否定形の will not / would not には「(どうしても) ･･･しようとしない [･･･しなかった]」という「拒絶」のニュアンスがある。▶文意が成立するのは④ wouldn't 「どうしても･･･しなかった」だけ。,0,2.5,
56,24,Peter would rather stay home than ( ) to the movies.,having gone,go,gone,to go,2,ピーターは映画に行くよりも、むしろ家にいたいと思う。,than の直後は動詞の原形。would rather do... than do~ 「~するよりも(むしろ)･･･したい」。▶この表現の than の直後には動詞の原形が来るので②goが正解。,0,2.5,
57,24,"As it is raining, I would ( ) stay at home.",better,have,like,rather,4,雨が降っているので、私はむしろ家にいたい。,than 以下が省略されている。would rather do... 「(むしろ)･･･したい」。▶ この表現は would rather do... than do~ 「~するよりも(むしろ)･･･したい」のthan do〜が示されない形。,0,2.5,
58,25,"If you have a toothache, you ( ) the dentist right now.",have better to see,have better see,had better see,had better to see,3,歯が痛いのなら、あなたは今すぐ歯医者に診てもらった方がよい。,had better は直後に動詞の原形を続ける。▶had better は直後に動詞の原形を続ける。よって③ had better see が正解。had better を1つの助動詞として考える。,0,2.5,
59,25,You ( ) go jogging after dark in this neighborhood.,had not better,had better not,not had better,had not better to,2,この辺りでは暗くなってからジョギングに出かけない方がいいですよ。,had better の否定形は not の位置に注意。had better not do 「･･･しない方がよい」。▶had better do の否定は、had better not do になる。had betterを1つの助動詞と考えて否定語 not を直後に続ける。よって② had better not が正解。,0,2.5,
60,26,"In fact, since French fashions were so popular, American dressmakers used to ( ) their names to French ones.",changing,change,changed,have changed,2,実際、フランスのファッションはとても人気があったので、アメリカの服飾メーカーは自社の名前をフランス風の名前に変えたものだ。,used to のあとは動詞の原形。used to do 「(以前は) よく･･･したものだ」一過去の習慣的動作。▶ changing を原形 change に変更すれば、過去の習慣的動作を表す used to do になり、文意が成立する。,0,2.5,
61,26,"When we were children, we ( ) go skating every winter.",liked,would,might,wanted,2,子どものころ、私たちは毎冬スケートをしに行ったものだ。,when 節の過去形と every winterに注目。would 「(以前は) よく･･･したものだ」。▶ when we were children と過去のことを話題にし、さらに every winter「毎冬」と繰り返される時間を表現しているので、「過去の習慣」を表していると考える。▶直後に動詞の原形が続き、文意が成立するのは過去の習慣的動作を表す② would だけ。,0,2.5,
62,27,"The wedding party ( ) a lot of money. There were a lot of guests, and the hotel was the best in the city.",must have cost,cannot have cost,could not cost,will cost,1,その結婚パーティーにはたくさんのお金がかかったにちがいない。たくさんの招待客がいたし、市内で一番のホテルだった。,過去の内容であることに注目。must have done 「･･･したにちがいない／･･･であったにちがいない」。▶問題文は過去の内容を述べており、文意が成立するのは① must have cost だけ。,0,2.5,
63,27,"Kate ( ) her way, for she has come here several times.",couldn't lose,could have lost,can't have lost,can be lost,3,ケイトが道に迷ったはずはない。というのも彼女は何度かここに来たことがあるのだから。,経験を表す現在完了 has come に注目。cannot [can't] have done 「･･･したはずがない／･･･であったはずがない」。▶she has come here several times 「(今まで) ここに数回来たことがある」に注目。この根拠から③ can't have lost (her) way 「道に迷ったはずがない」と推量している。,0,2.5,
64,28,"I ( ) called you this morning, but I was too busy to do so.",must not have,must have,should not have,should have,4,私は今朝あなたに電話すべきだったのだが、忙しすぎてできなかった。,( ) 実際はどうだったのかに注目。should [ought to] have done 「･･･すべきだったのに(実際は･･･しなかった)」。▶実際には電話ができなかったのであるから、文章が成立するのは④の should have (called) 「電話すべきだったのに」だけ。,0,2.5,
65,28,Our French teacher ( ) here by now because he took the early bus.,ought to have arrived,may arrive,is arriving,must arrive,1,私たちのフランス語の先生は、今ごろはもうここに着いているはずだ。彼は早めのバスに乗ったのだから。,by now 「今ごろはもう」に注目。should [ought to] have done 「(今ごろはもう)･･･して(しまって)いるはずだ」。▶by now 「今ごろはもう」に注目。he took the early bus 「早めのバスに乗った」とあることから、① ought to have arrived 「到着して(しまって)いるはずだ」と推量している。,0,2.5,
66,28,"You are soaking wet. You ( ) out in the rain. ""I know, but they were expecting me.""",wouldn't have gone,shouldn't have gone,could have gone,couldn't have gone,2,「おやびしょ濡れだね。雨の中を外出するべきではなかったのに」「わかっているけど、彼らが私を待ってたんだ」,「事実」に対して文意が成立するのは？ should not [ought not to] have done 「･･･すべきではなかったのに(実際は･･･した)」。▶「びしょ濡れだ」という事実に対して、「雨の中を外出するべきではなかったのに」という文意が成立するのは②の shouldn't have gone だけ。,0,2.5,
67,29,We ( ) all our raincoats and umbrellas.,must have brought,should have brought,needn't have brought,couldn't have brought,3,天気予報に反して、昨日は雨が降らなかった。私たちはレインコートや傘をまったく持ってくる必要がなかった。,「事実」に対して文意を成立させる。need not [needn't] have done 「･･･する必要はなかったのに(実際は･･･した)」。▶「雨が降らなかったので、用具を持ってくる必要はなかった(のに持ってきてしまった)」という文意を成立させる。③ needn't have brought が正解。,0,2.5,
68,30,It is essential that the documents ( ) kept in the safe.,is being,be,are,were,2,その書類を金庫に保管することは不可欠だ。,essential 「不可欠の」は重要・必要を表す形容詞。that 節で用いる動詞の原形や should。▶It is essential that... 「･･･は不可欠だ」のthat節では動詞の原形かshould を用いる。本問では、②beだけが正解となりうる。,0,2.5,
69,30,"Anyone watching the musical cannot ( ) feeling happiness, joy and pride.",but,also help,without,help,4,そのミュージカルを見ている人はだれでも幸福や喜び、誇りを感じずにいられない。,助動詞を用いた慣用表現。cannot [can't] help doing 「･･･しないではいられない」。▶空所の前後のcannot と feeling に注目して④ help を選ぶ。①butはcannot but feel なら正しい。,0,2.5,
